Name,CRP,Model,Accuracy,Time
4-xorapuf,10000,SupportVectorMachineModel,0.5295,3.8669984340667725
4-xorapuf,10000,DeepLearningModel,0.5264999866485596,5.7840001583099365
4-xorapuf,20000,LogisticRegressionModel,0.49325,0.02500295639038086
4-xorapuf,20000,RPropLogisticRegressionModel,0.49775,0.11800074577331543
4-xorapuf,20000,SupportVectorMachineModel,0.5025,23.118000745773315
4-xorapuf,20000,DeepLearningModel,0.4972499907016754,12.827002048492432
4-xorapuf,50000,LogisticRegressionModel,0.502,0.06100153923034668
4-xorapuf,50000,RPropLogisticRegressionModel,0.5038,0.3419983386993408
4-xorapuf,50000,SupportVectorMachineModel,0.5187,165.94600129127502
4-xorapuf,50000,DeepLearningModel,0.4961000084877014,15.795000791549683
4-xorapuf,100000,LogisticRegressionModel,0.50855,0.11100053787231445
4-xorapuf,100000,RPropLogisticRegressionModel,0.5033,0.689000129699707
4-xorapuf,100000,SupportVectorMachineModel,0.5085,38.45500111579895
4-xorapuf,100000,DeepLearningModel,0.9382500052452087,72.16299962997437
4-xorapuf,500000,LogisticRegressionModel,0.50073,0.5379993915557861
4-xorapuf,500000,RPropLogisticRegressionModel,0.50106,4.221999883651733
4-xorapuf,500000,SupportVectorMachineModel,0.50068,240.5489993095398
4-xorapuf,500000,DeepLearningModel,0.9429600238800049,165.80599880218506
5-xorapuf,5000,LogisticRegressionModel,0.489,0.009001493453979492
5-xorapuf,5000,RPropLogisticRegressionModel,0.495,0.031999826431274414
5-xorapuf,5000,SupportVectorMachineModel,0.501,0.8849992752075195
5-xorapuf,5000,DeepLearningModel,0.5170000195503235,5.2490012645721436
5-xorapuf,10000,LogisticRegressionModel,0.52,0.02200484275817871
5-xorapuf,10000,RPropLogisticRegressionModel,0.515,0.0839989185333252
5-xorapuf,10000,SupportVectorMachineModel,0.5215,3.9090006351470947
5-xorapuf,10000,DeepLearningModel,0.5,8.346000671386719
5-xorapuf,20000,LogisticRegressionModel,0.504,0.02500009536743164
5-xorapuf,20000,RPropLogisticRegressionModel,0.51225,0.11900138854980469
5-xorapuf,20000,SupportVectorMachineModel,0.51125,24.912999868392944
5-xorapuf,20000,DeepLearningModel,0.5055000185966492,11.119001388549805
5-xorapuf,50000,LogisticRegressionModel,0.5073,0.05999922752380371
5-xorapuf,50000,RPropLogisticRegressionModel,0.5096,0.299999475479126
5-xorapuf,50000,SupportVectorMachineModel,0.5057,172.47999811172485
5-xorapuf,50000,DeepLearningModel,0.5005999803543091,13.64199709892273
5-xorapuf,100000,LogisticRegressionModel,0.5012,0.11900043487548828
5-xorapuf,100000,RPropLogisticRegressionModel,0.50425,0.6990034580230713
5-xorapuf,100000,SupportVectorMachineModel,0.5013,38.99399256706238
5-xorapuf,100000,DeepLearningModel,0.503849983215332,22.22100281715393
5-xorapuf,500000,LogisticRegressionModel,0.49836,0.5900008678436279
5-xorapuf,500000,RPropLogisticRegressionModel,0.50303,4.2100043296813965
5-xorapuf,500000,SupportVectorMachineModel,0.49834,269.5119981765747
5-xorapuf,500000,DeepLearningModel,0.9137099981307983,178.45600008964539
